method,coverage,risk,accuracy,f1,precision,recall,fpr,fnr,auroc,auprc,json_validity_rate,avg_latency_ms,avg_tokens_per_sec
A_direct,0.95,0.41052631578947374,0.5894736842105263,0.5411764705882353,0.6571428571428571,0.46,0.26666666666666666,0.54,0.5866666666666667,0.5720200501253132,0.96,2769.8693919181824,12.353868208516138
B_loglik,0.67,0.29850746268656714,0.7014925373134329,0.6296296296296297,0.7083333333333334,0.5666666666666667,0.1891891891891892,0.43333333333333335,0.7432432432432432,0.6505472909562314,1.0,977.5709176063538,
C_self_consistency,0.9,0.3666666666666667,0.6333333333333333,0.5822784810126582,0.6571428571428571,0.5227272727272727,0.2608695652173913,0.4772727272727273,0.6561264822134386,0.6100764639401003,0.63,14577.645871639252,12.72007283725835
